Comment,Designator,Footprint,LCSC
100nF,"C101,C103,C104,C105",C_0603_1608Metric,C14663
D_Schottky,"D101,D102",D_SMA,C14996
10uF,C107,C_0805_2012Metric,C15850
USB_C_Receptacle_USB2.0,J101,USB_C_Receptacle_Palconn_UTC16-G,C167321
100,R104,R_0805_2012Metric,C17408
Q_NPN_BEC,"Q101,Q102",SOT-23,C20526
GREEN LED,D103,LED_0805_2012Metric,C2297
4.7k,R109,R_0603_1608Metric,C23162
470R,"R106,R111,R113",R_0603_1608Metric,C23179
47R,"R108,R115",R_0603_1608Metric,C23182
5k1,"R101,R102",R_0603_1608Metric,C23186
10k,"R103,R105,R107,R112,R114",R_0603_1608Metric,C25804
WS2812B,"D201,D202,D203,D204,D301,D302,D303,D304,D305,D306,D307,D308,D309,D310,D311",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C2874885
HOUR,"SW101,SW102,SW103",SW_SPST_TL3342,C318884
70mF,C102,SM3R3703T01U,C396469
1k5,R110,R_0805_2012Metric,C4310
ESP32-WROOM-32D,U103,ESP32-WROOM-32,C529577
22uF,"C106,C108",C_1206_3216Metric,C5672
AMS1117-3.3,U105,SOT-223-3_TabPin2,C6186
PCF8563T,U102,SOIC-8_3.9x4.9mm_P1.27mm,C7440
CH340C,U101,SOIC-16_3.9x9.9mm_P1.27mm,C84681
Crystal,Y101,Crystal_SMD_3215-2Pin_3.2x1.5mm,C907543
