Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C101,100nF,C_0603_1608Metric,86.75,-149.1,180,top
C102,70mF,SM3R3703T01U,73.98959,-138.008446,270,top
C103,100nF,C_0603_1608Metric,67.205,-139.305,90,top
C104,100nF,C_0603_1608Metric,143.678965,-141.558446,90,top
C105,100nF,C_0603_1608Metric,131.678965,-158.308446,-90,top
C106,22uF,C_1206_3216Metric,133.628965,-157.533446,-90,top
C107,10uF,C_0805_2012Metric,66.978965,-158.608446,0,top
C108,22uF,C_1206_3216Metric,62.003965,-149.108446,0,top
D101,D_Schottky,D_SMA,69.978965,-143.058446,0,top
D102,D_Schottky,D_SMA,68.328965,-153.808446,90,top
D103,GREEN LED,LED_0805_2012Metric,57.866465,-149.108446,180,top
D201,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,134.953965,-151.958446,180,top
D202,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,142.753965,-151.958446,180,top
D203,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,150.553965,-151.958446,180,top
D204,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,158.353965,-151.958446,180,top
D301,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,56.425,-37.25,180,top
D301,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,220.475,-45.95,0,top
D301,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,56.425,-57.65,180,top
D301,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,220.475,-66.35,0,top
D301,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,56.425,-78.05,180,top
D301,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,220.475,-86.75,0,top
D301,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,56.425,-98.45,180,top
D301,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,220.475,-107.15,0,top
D301,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,56.425,-118.85,180,top
D301,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,220.475,-127.55,0,top
D302,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,73.025,-37.25,180,top
D302,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,203.875,-45.95,0,top
D302,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,73.025,-57.65,180,top
D302,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,203.875,-66.35,0,top
D302,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,73.025,-78.05,180,top
D302,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,203.875,-86.75,0,top
D302,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,73.025,-98.45,180,top
D302,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,203.875,-107.15,0,top
D302,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,73.025,-118.85,180,top
D302,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,203.875,-127.55,0,top
D303,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,89.625,-37.25,180,top
D303,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,187.275,-45.95,0,top
D303,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,89.625,-57.65,180,top
D303,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,187.275,-66.35,0,top
D303,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,89.625,-78.05,180,top
D303,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,187.275,-86.75,0,top
D303,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,89.625,-98.45,180,top
D303,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,187.275,-107.15,0,top
D303,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,89.625,-118.85,180,top
D303,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,187.275,-127.55,0,top
D304,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,106.225,-37.25,180,top
D304,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,170.675,-45.95,0,top
D304,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,106.225,-57.65,180,top
D304,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,170.675,-66.35,0,top
D304,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,106.225,-78.05,180,top
D304,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,170.675,-86.75,0,top
D304,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,106.225,-98.45,180,top
D304,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,170.675,-107.15,0,top
D304,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,106.225,-118.85,180,top
D304,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,170.675,-127.55,0,top
D305,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,122.825,-37.25,180,top
D305,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,154.075,-45.95,0,top
D305,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,122.825,-57.65,180,top
D305,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,154.075,-66.35,0,top
D305,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,122.825,-78.05,180,top
D305,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,154.075,-86.75,0,top
D305,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,122.825,-98.45,180,top
D305,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,154.075,-107.15,0,top
D305,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,122.825,-118.85,180,top
D305,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,154.075,-127.55,0,top
D306,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,139.425,-37.25,180,top
D306,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,137.475,-45.95,0,top
D306,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,139.425,-57.65,180,top
D306,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,137.475,-66.35,0,top
D306,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,139.425,-78.05,180,top
D306,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,137.475,-86.75,0,top
D306,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,139.425,-98.45,180,top
D306,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,137.475,-107.15,0,top
D306,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,139.425,-118.85,180,top
D306,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,137.475,-127.55,0,top
D307,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,156.025,-37.25,180,top
D307,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,120.875,-45.95,0,top
D307,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,156.025,-57.65,180,top
D307,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,120.875,-66.35,0,top
D307,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,156.025,-78.05,180,top
D307,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,120.875,-86.75,0,top
D307,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,156.025,-98.45,180,top
D307,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,120.875,-107.15,0,top
D307,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,156.025,-118.85,180,top
D307,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,120.875,-127.55,0,top
D308,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,172.625,-37.25,180,top
D308,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,104.275,-45.95,0,top
D308,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,172.625,-57.65,180,top
D308,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,104.275,-66.35,0,top
D308,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,172.625,-78.05,180,top
D308,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,104.275,-86.75,0,top
D308,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,172.625,-98.45,180,top
D308,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,104.275,-107.15,0,top
D308,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,172.625,-118.85,180,top
D308,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,104.275,-127.55,0,top
D309,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,189.225,-37.25,180,top
D309,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,87.675,-45.95,0,top
D309,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,189.225,-57.65,180,top
D309,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,87.675,-66.35,0,top
D309,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,189.225,-78.05,180,top
D309,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,87.675,-86.75,0,top
D309,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,189.225,-98.45,180,top
D309,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,87.675,-107.15,0,top
D309,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,189.225,-118.85,180,top
D309,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,87.675,-127.55,0,top
D310,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,205.825,-37.25,180,top
D310,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,71.075,-45.95,0,top
D310,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,205.825,-57.65,180,top
D310,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,71.075,-66.35,0,top
D310,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,205.825,-78.05,180,top
D310,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,71.075,-86.75,0,top
D310,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,205.825,-98.45,180,top
D310,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,71.075,-107.15,0,top
D310,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,205.825,-118.85,180,top
D310,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,71.075,-127.55,0,top
D311,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,222.425,-37.25,180,top
D311,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,54.475,-45.95,0,top
D311,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,222.425,-57.65,180,top
D311,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,54.475,-66.35,0,top
D311,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,222.425,-78.05,180,top
D311,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,54.475,-86.75,0,top
D311,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,222.425,-98.45,180,top
D311,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,54.475,-107.15,0,top
D311,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,222.425,-118.85,180,top
D311,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,54.475,-127.55,0,top
J101,USB_C_Receptacle_USB2.0,USB_C_Receptacle_Palconn_UTC16-G,75.45,-155.525,0,top
Q101,Q_NPN_BEC,SOT-23,90.45,-157,90,top
Q102,Q_NPN_BEC,SOT-23,90.45,-150.2,270,top
R101,5k1,R_0603_1608Metric,74.45,-150.3,-90,top
R102,5k1,R_0603_1608Metric,76.45,-150.3,-90,top
R103,10k,R_0603_1608Metric,91.45,-153.6,-90,top
R104,100,R_0805_2012Metric,69.205,-139.305,90,top
R105,10k,R_0603_1608Metric,89.45,-153.6,90,top
R106,470R,R_0603_1608Metric,98.753965,-152.008446,0,top
R107,10k,R_0603_1608Metric,98.75,-155.6,180,top
R108,47R,R_0603_1608Metric,65.35,-144.9,-90,top
R109,4.7k,R_0603_1608Metric,65.35,-148,90,top
R110,1k5,R_0805_2012Metric,141.978965,-141.558446,90,top
R111,470R,R_0603_1608Metric,98.75,-144.6,0,top
R112,10k,R_0603_1608Metric,98.75,-148.2,180,top
R113,470R,R_0603_1608Metric,98.75,-137,0,top
R114,10k,R_0603_1608Metric,98.75,-140.6,180,top
R115,47R,R_0603_1608Metric,57.753965,-147.108446,0,top
SW101,HOUR,SW_SPST_TL3342,104.75,-153.8,0,top
SW102,MIN,SW_SPST_TL3342,104.75,-146.4,0,top
SW103,AM/PM,SW_SPST_TL3342,104.75,-138.8,0,top
U101,CH340C,SOIC-16_3.9x9.9mm_P1.27mm,84.65,-155.2,270,top
U102,PCF8563T,SOIC-8_3.9x4.9mm_P1.27mm,62.405,-140.505,270,top
U103,ESP32-WROOM-32D,ESP32-WROOM-32,121.05,-150.1,180,top
U105,AMS1117-3.3,SOT-223-3_TabPin2,60.65,-155,270,top
Y101,Crystal,Crystal_SMD_3215-2Pin_3.2x1.5mm,57.205,-140.558446,-90,top
